"SEQN","indice_pobreza","indice_pobreza_cat"
73932,0.61,"pobreza"
73934,1.14,"pobreza"
73935,NA,NA
73937,1.82,"bajo_ingreso"
73938,5,"medio_alto"
73941,1.54,"bajo_ingreso"
73943,1.93,"medio_alto"
73945,0.21,"pobreza"
73949,0.52,"pobreza"
73952,0.21,"pobreza"
73954,5,"medio_alto"
73955,5,"medio_alto"
73957,4.04,"medio_alto"
73962,0.82,"pobreza"
73964,5,"medio_alto"
73973,4.11,"medio_alto"
73974,3.7,"medio_alto"
73975,0.92,"pobreza"
73977,2.43,"medio_alto"
73979,NA,"medio_alto"
73980,NA,"pobreza"
73981,1.72,"bajo_ingreso"
73983,0,"pobreza"
73985,1.82,"bajo_ingreso"
73987,1.16,"pobreza"
73990,5,"medio_alto"
73992,1.04,"pobreza"
73993,0.59,"pobreza"
73994,2.06,"medio_alto"
73995,3.69,"medio_alto"
73998,1.26,"pobreza"
73999,5,"medio_alto"
74001,0.69,"pobreza"
74002,4.55,"medio_alto"
74003,0.31,"pobreza"
74004,1.93,"medio_alto"
74005,0.26,"pobreza"
74006,1.43,"bajo_ingreso"
74007,2.79,"medio_alto"
74008,1.68,"bajo_ingreso"
74010,0.99,"pobreza"
74011,5,"medio_alto"
74012,0.87,"pobreza"
74013,4.42,"medio_alto"
74014,NA,NA
74016,3.06,"medio_alto"
74017,2.16,"medio_alto"
74018,0,"pobreza"
74022,0.21,"pobreza"
74023,3.33,"medio_alto"
74025,1.53,"bajo_ingreso"
74027,2.25,"medio_alto"
74028,1.06,"pobreza"
74029,5,"medio_alto"
74031,1.68,"bajo_ingreso"
74032,4.28,"medio_alto"
74033,5,"medio_alto"
74036,NA,NA
74037,1.82,"bajo_ingreso"
74038,0.15,"pobreza"
74041,NA,NA
74042,NA,"bajo_ingreso"
74044,0.59,"pobreza"
74045,1.68,"bajo_ingreso"
74046,5,"medio_alto"
74047,NA,"pobreza"
74048,1.79,"bajo_ingreso"
74049,4.12,"medio_alto"
74050,2.55,"medio_alto"
74051,5,"medio_alto"
74052,0.61,"pobreza"
74054,3.03,"medio_alto"
74055,0.61,"pobreza"
74056,NA,"pobreza"
74057,2.67,"medio_alto"
74058,1,"pobreza"
74059,5,"medio_alto"
74062,1.52,"bajo_ingreso"
74065,2.92,"medio_alto"
74066,0,"pobreza"
74070,5,"medio_alto"
74072,1.23,"pobreza"
74075,1.54,"bajo_ingreso"
74077,NA,"medio_alto"
74078,3.81,"medio_alto"
74081,1.41,"bajo_ingreso"
74083,2.28,"medio_alto"
74085,1.14,"pobreza"
74087,1.82,"bajo_ingreso"
74090,1.34,"bajo_ingreso"
74091,1.92,"medio_alto"
74096,0.54,"pobreza"
74097,3.42,"medio_alto"
74099,0.64,"pobreza"
74100,1.67,"bajo_ingreso"
74101,0.31,"pobreza"
74102,0.28,"pobreza"
74109,1.82,"bajo_ingreso"
74110,1.12,"pobreza"
74111,3.05,"medio_alto"
74112,0.5,"pobreza"
74115,0.86,"pobreza"
74116,1.14,"pobreza"
74118,1.52,"bajo_ingreso"
74119,0.87,"pobreza"
74120,1.53,"bajo_ingreso"
74122,2.09,"medio_alto"
74124,1.01,"pobreza"
74125,NA,"medio_alto"
74126,4.18,"medio_alto"
74127,0.3,"pobreza"
74128,0.86,"pobreza"
74131,1.84,"bajo_ingreso"
74132,3.03,"medio_alto"
74134,2.97,"medio_alto"
74138,1.47,"bajo_ingreso"
74139,1.78,"bajo_ingreso"
74141,3.33,"medio_alto"
74142,NA,"pobreza"
74143,5,"medio_alto"
74144,5,"medio_alto"
74146,2.06,"medio_alto"
74147,1.08,"pobreza"
74148,1.39,"bajo_ingreso"
74149,0.77,"pobreza"
74150,NA,"bajo_ingreso"
74153,NA,NA
74154,2.09,"medio_alto"
74158,0.45,"pobreza"
74159,2.92,"medio_alto"
74160,1.58,"bajo_ingreso"
74164,2.95,"medio_alto"
74166,0.26,"pobreza"
74169,NA,"medio_alto"
74170,5,"medio_alto"
74172,1.84,"bajo_ingreso"
74173,1.23,"pobreza"
74175,0.92,"pobreza"
74176,0.45,"pobreza"
74178,5,"medio_alto"
74180,4.96,"medio_alto"
74181,2.33,"medio_alto"
74184,5,"medio_alto"
74186,0.65,"pobreza"
74187,NA,"pobreza"
74188,NA,NA
74190,1.55,"bajo_ingreso"
74191,0.95,"pobreza"
74193,1.04,"pobreza"
74195,0.77,"pobreza"
74196,5,"medio_alto"
74197,0.85,"pobreza"
74198,4.39,"medio_alto"
74201,0.92,"pobreza"
74203,1.53,"bajo_ingreso"
74205,5,"medio_alto"
74207,1.54,"bajo_ingreso"
74211,0.92,"pobreza"
74214,5,"medio_alto"
74219,1.52,"bajo_ingreso"
74221,NA,NA
74222,0.51,"pobreza"
74224,1.09,"pobreza"
74225,1.25,"pobreza"
74226,0,"pobreza"
74227,0.87,"pobreza"
74230,2.46,"medio_alto"
74231,1.98,"medio_alto"
74232,NA,NA
74233,1.44,"bajo_ingreso"
74235,1.57,"bajo_ingreso"
74237,4.7,"medio_alto"
74239,4.3,"medio_alto"
74240,4.18,"medio_alto"
74241,1.8,"bajo_ingreso"
74243,1.89,"medio_alto"
74247,3.05,"medio_alto"
74251,0.61,"pobreza"
74252,1.13,"pobreza"
74253,2.32,"medio_alto"
74254,3.11,"medio_alto"
74259,1.11,"pobreza"
74260,0.6,"pobreza"
74262,0.74,"pobreza"
74264,0.65,"pobreza"
74265,1.21,"pobreza"
74268,0.42,"pobreza"
74270,4.3,"medio_alto"
74275,1.85,"bajo_ingreso"
74276,0.54,"pobreza"
74278,4.04,"medio_alto"
74279,1.03,"pobreza"
74280,NA,"medio_alto"
74281,3.87,"medio_alto"
74283,1.68,"bajo_ingreso"
74284,NA,"pobreza"
74285,3.11,"medio_alto"
74287,3.74,"medio_alto"
74290,2.79,"medio_alto"
74292,1.57,"bajo_ingreso"
74293,5,"medio_alto"
74295,5,"medio_alto"
74296,5,"medio_alto"
74298,1.98,"medio_alto"
74300,5,"medio_alto"
74301,5,"medio_alto"
74302,2.67,"medio_alto"
74304,0.82,"pobreza"
74305,2.01,"medio_alto"
74306,0.48,"pobreza"
74310,4.96,"medio_alto"
74312,1.72,"bajo_ingreso"
74313,0.84,"pobreza"
74314,4.35,"medio_alto"
74317,4.03,"medio_alto"
74318,NA,"medio_alto"
74319,0.67,"pobreza"
74322,0.53,"pobreza"
74323,4.24,"medio_alto"
74324,3.87,"medio_alto"
74328,2.52,"medio_alto"
74329,NA,NA
74331,1.09,"pobreza"
74332,1.53,"bajo_ingreso"
74338,5,"medio_alto"
74340,5,"medio_alto"
74341,4.18,"medio_alto"
74344,NA,NA
74345,3.27,"medio_alto"
74346,2.24,"medio_alto"
74348,3.06,"medio_alto"
74349,5,"medio_alto"
74350,NA,"pobreza"
74355,NA,NA
74356,3.05,"medio_alto"
74359,3.81,"medio_alto"
74366,1.51,"bajo_ingreso"
74367,NA,NA
74368,1.51,"bajo_ingreso"
74374,2.94,"medio_alto"
74375,0,"pobreza"
74376,0.77,"pobreza"
74378,3.48,"medio_alto"
74379,1.82,"bajo_ingreso"
74380,0,"pobreza"
74381,3.03,"medio_alto"
74383,4.03,"medio_alto"
74384,1.33,"bajo_ingreso"
74385,NA,NA
74386,4.26,"medio_alto"
74388,3.07,"medio_alto"
74393,1.04,"pobreza"
74394,5,"medio_alto"
74395,4.7,"medio_alto"
74396,5,"medio_alto"
74397,1.12,"pobreza"
74398,0.82,"pobreza"
