"SEQN","indice_pobreza","indice_pobreza_cat"
75334,1.68,"bajo_ingreso"
75335,0.44,"pobreza"
75337,1.03,"pobreza"
75338,5,"medio_alto"
75339,1.57,"bajo_ingreso"
75340,1.31,"bajo_ingreso"
75342,4.3,"medio_alto"
75343,1.45,"bajo_ingreso"
75344,1.93,"medio_alto"
75345,5,"medio_alto"
75346,NA,NA
75347,5,"medio_alto"
75349,0,"pobreza"
75350,1.44,"bajo_ingreso"
75351,0.52,"pobreza"
75352,NA,NA
75354,1.52,"bajo_ingreso"
75356,NA,NA
75358,NA,NA
75359,NA,"pobreza"
75361,2.46,"medio_alto"
75362,1.82,"bajo_ingreso"
75364,5,"medio_alto"
75366,1.08,"pobreza"
75370,2.57,"medio_alto"
75374,5,"medio_alto"
75375,1.55,"bajo_ingreso"
75376,3.99,"medio_alto"
75377,5,"medio_alto"
75379,3.87,"medio_alto"
75381,1.55,"bajo_ingreso"
75382,0.3,"pobreza"
75384,1.03,"pobreza"
75385,3.75,"medio_alto"
75389,1.91,"medio_alto"
75390,4.58,"medio_alto"
75391,0.36,"pobreza"
75393,0.55,"pobreza"
75395,2.18,"medio_alto"
75397,1.67,"bajo_ingreso"
75399,2.52,"medio_alto"
75400,2.43,"medio_alto"
75403,2.06,"medio_alto"
75404,3.05,"medio_alto"
75405,2.06,"medio_alto"
75406,5,"medio_alto"
75407,5,"medio_alto"
75409,0.65,"pobreza"
75413,3.65,"medio_alto"
75414,0.92,"pobreza"
75415,1.6,"bajo_ingreso"
75416,1.91,"medio_alto"
75417,2.46,"medio_alto"
75418,4.24,"medio_alto"
75419,0.72,"pobreza"
75422,0.92,"pobreza"
75423,2.3,"medio_alto"
75424,NA,NA
75425,5,"medio_alto"
75426,1.46,"bajo_ingreso"
75428,4.35,"medio_alto"
75432,NA,NA
75434,1.68,"bajo_ingreso"
75435,5,"medio_alto"
75440,3.04,"medio_alto"
75443,0.92,"pobreza"
75444,5,"medio_alto"
75445,0.99,"pobreza"
75446,0.55,"pobreza"
75447,5,"medio_alto"
75449,4.22,"medio_alto"
75450,1.07,"pobreza"
75451,5,"medio_alto"
75456,5,"medio_alto"
75457,4,"medio_alto"
75458,2.66,"medio_alto"
75461,0.82,"pobreza"
75462,1.01,"pobreza"
75465,0.61,"pobreza"
75467,3.71,"medio_alto"
75468,5,"medio_alto"
75469,1.04,"pobreza"
75472,4.2,"medio_alto"
75473,NA,"pobreza"
75476,2.76,"medio_alto"
75479,1.54,"bajo_ingreso"
75482,0.8,"pobreza"
75483,0,"pobreza"
75486,2.18,"medio_alto"
75487,NA,NA
75490,NA,NA
75491,NA,NA
75492,1.84,"bajo_ingreso"
75495,0.92,"pobreza"
75496,NA,"medio_alto"
75498,0.44,"pobreza"
75499,5,"medio_alto"
75500,3.66,"medio_alto"
75504,0.91,"pobreza"
75505,1.55,"bajo_ingreso"
75506,1.54,"bajo_ingreso"
75507,NA,NA
75511,1.67,"bajo_ingreso"
75515,5,"medio_alto"
75517,0.77,"pobreza"
75519,5,"medio_alto"
75521,1.09,"pobreza"
75523,0.54,"pobreza"
75524,4.33,"medio_alto"
75526,3.02,"medio_alto"
75527,1.65,"bajo_ingreso"
75528,2.39,"medio_alto"
75529,4.79,"medio_alto"
75531,1.01,"pobreza"
75532,1.16,"pobreza"
75533,2.97,"medio_alto"
75534,0.75,"pobreza"
75536,0.36,"pobreza"
75537,2.18,"medio_alto"
75538,1.54,"bajo_ingreso"
75539,0.31,"pobreza"
75540,4.52,"medio_alto"
75542,1.23,"pobreza"
75543,1.08,"pobreza"
75544,NA,"medio_alto"
75546,0.68,"pobreza"
75547,NA,NA
75549,NA,NA
75550,1.52,"bajo_ingreso"
75552,1.16,"pobreza"
75553,1.57,"bajo_ingreso"
75555,0.96,"pobreza"
75556,1.54,"bajo_ingreso"
75557,2.48,"medio_alto"
75558,3.02,"medio_alto"
75562,0.69,"pobreza"
75563,NA,NA
75566,NA,"medio_alto"
75567,NA,NA
75571,5,"medio_alto"
75572,0.27,"pobreza"
75573,0.89,"pobreza"
75576,4.18,"medio_alto"
75579,2.71,"medio_alto"
75581,1.57,"bajo_ingreso"
75584,2.15,"medio_alto"
75585,NA,NA
75588,5,"medio_alto"
75590,5,"medio_alto"
75591,1.07,"pobreza"
75592,0.92,"pobreza"
75593,0,"pobreza"
75594,0.43,"pobreza"
75595,1.51,"bajo_ingreso"
75596,0.08,"pobreza"
75598,4.58,"medio_alto"
75601,3.87,"medio_alto"
75607,2.06,"medio_alto"
75609,5,"medio_alto"
75610,1.53,"bajo_ingreso"
75611,1.29,"pobreza"
75612,5,"medio_alto"
75613,NA,"bajo_ingreso"
75616,1.36,"bajo_ingreso"
75619,3.48,"medio_alto"
75620,0.5,"pobreza"
75621,5,"medio_alto"
75624,0.99,"pobreza"
75625,0.74,"pobreza"
75628,5,"medio_alto"
75630,1.53,"bajo_ingreso"
75631,2.46,"medio_alto"
75635,0.69,"pobreza"
75636,1.82,"bajo_ingreso"
75637,4.3,"medio_alto"
75640,0.48,"pobreza"
75641,NA,"medio_alto"
75643,1.58,"bajo_ingreso"
75644,NA,NA
75646,5,"medio_alto"
75647,3.43,"medio_alto"
75648,0.63,"pobreza"
75653,1.43,"bajo_ingreso"
75654,1.08,"pobreza"
75655,0.51,"pobreza"
75660,2.33,"medio_alto"
75662,5,"medio_alto"
75663,3.09,"medio_alto"
75664,0.56,"pobreza"
75666,5,"medio_alto"
75667,0.72,"pobreza"
75669,5,"medio_alto"
75670,3.43,"medio_alto"
75674,1,"pobreza"
75679,0.75,"pobreza"
75681,3.76,"medio_alto"
75682,3.36,"medio_alto"
75683,NA,NA
75684,2.52,"medio_alto"
75685,0,"pobreza"
75686,1.87,"medio_alto"
75688,0.3,"pobreza"
75689,0.61,"pobreza"
75690,0.87,"pobreza"
75691,0.52,"pobreza"
75692,5,"medio_alto"
75695,0.34,"pobreza"
75696,0.59,"pobreza"
75698,3.26,"medio_alto"
75699,1.26,"pobreza"
75700,0.96,"pobreza"
75702,4.18,"medio_alto"
75704,0.7,"pobreza"
75705,5,"medio_alto"
75706,1.7,"bajo_ingreso"
75709,1.91,"medio_alto"
75710,5,"medio_alto"
75714,5,"medio_alto"
75717,1.83,"bajo_ingreso"
75721,NA,"pobreza"
75723,4.11,"medio_alto"
75724,1.74,"bajo_ingreso"
75725,5,"medio_alto"
75726,2.52,"medio_alto"
75730,0.74,"pobreza"
75734,4.64,"medio_alto"
75735,3.33,"medio_alto"
75737,0.76,"pobreza"
75738,1.88,"medio_alto"
75739,0.84,"pobreza"
75742,2.04,"medio_alto"
75743,NA,"pobreza"
75744,1.46,"bajo_ingreso"
75745,1.82,"bajo_ingreso"
75747,3.16,"medio_alto"
75749,0.73,"pobreza"
75750,5,"medio_alto"
75751,5,"medio_alto"
75753,4.59,"medio_alto"
75754,0.68,"pobreza"
75755,5,"medio_alto"
75758,5,"medio_alto"
75762,3.71,"medio_alto"
75763,1.11,"pobreza"
75768,1.81,"bajo_ingreso"
75769,4.3,"medio_alto"
75771,NA,"medio_alto"
75773,0.76,"pobreza"
75774,1.23,"pobreza"
75775,NA,"pobreza"
75779,NA,NA
75780,1.23,"pobreza"
75781,5,"medio_alto"
75784,4.03,"medio_alto"
75785,2.52,"medio_alto"
75786,2.57,"medio_alto"
75787,NA,NA
75788,5,"medio_alto"
75789,5,"medio_alto"
75790,1.72,"bajo_ingreso"
75792,1.11,"pobreza"
75795,1.55,"bajo_ingreso"
75797,3.99,"medio_alto"
75799,1.52,"bajo_ingreso"
75803,0.49,"pobreza"
75805,0.55,"pobreza"
75807,4.03,"medio_alto"
75808,NA,"bajo_ingreso"
75814,0,"pobreza"
75817,1.52,"bajo_ingreso"
75819,2.18,"medio_alto"
75820,5,"medio_alto"
75822,3.82,"medio_alto"
75823,3.37,"medio_alto"
75824,1.88,"medio_alto"
75825,2.01,"medio_alto"
75826,1.97,"medio_alto"
75828,4.37,"medio_alto"
75830,4.12,"medio_alto"
75831,5,"medio_alto"
75835,3.6,"medio_alto"
75837,NA,"bajo_ingreso"
75838,NA,"medio_alto"
75839,1,"pobreza"
75840,5,"medio_alto"
75841,4.58,"medio_alto"
75842,NA,NA
75845,2.47,"medio_alto"
75848,5,"medio_alto"
75850,5,"medio_alto"
75853,0.31,"pobreza"
75854,2.33,"medio_alto"
75855,2.12,"medio_alto"
75856,2.15,"medio_alto"
75860,3.66,"medio_alto"
75861,2.32,"medio_alto"
75863,1.28,"pobreza"
75869,1.41,"bajo_ingreso"
75870,2.18,"medio_alto"
75871,3.09,"medio_alto"
75872,0.61,"pobreza"
75874,2.43,"medio_alto"
75879,0.67,"pobreza"
75881,0.64,"pobreza"
75882,5,"medio_alto"
75883,0.67,"pobreza"
75885,5,"medio_alto"
75887,1.67,"bajo_ingreso"
75888,2.15,"medio_alto"
75890,0,"pobreza"
75892,2.26,"medio_alto"
75893,3.02,"medio_alto"
75894,4.85,"medio_alto"
75895,0.93,"pobreza"
75896,1.11,"pobreza"
75898,2.24,"medio_alto"
75899,NA,NA
75900,1.07,"pobreza"
75901,2.65,"medio_alto"
75902,1.02,"pobreza"
75903,0.5,"pobreza"
75904,0.41,"pobreza"
75905,4.58,"medio_alto"
75907,2,"medio_alto"
75908,1.04,"pobreza"
75909,0.31,"pobreza"
75910,1.26,"pobreza"
75911,4.11,"medio_alto"
75912,3.2,"medio_alto"
75913,NA,NA
75915,1.94,"medio_alto"
75921,NA,"medio_alto"
75922,4.96,"medio_alto"
75923,3.25,"medio_alto"
75924,2.61,"medio_alto"
75925,0.57,"pobreza"
75927,NA,NA
75928,4.92,"medio_alto"
75929,0.62,"pobreza"
75931,1.07,"pobreza"
75932,5,"medio_alto"
75933,2.92,"medio_alto"
75934,0,"pobreza"
75936,NA,"pobreza"
75937,5,"medio_alto"
75938,5,"medio_alto"
75942,2.29,"medio_alto"
75945,1.31,"bajo_ingreso"
75946,1.88,"medio_alto"
75949,1.27,"pobreza"
75951,2.67,"medio_alto"
75952,0.61,"pobreza"
75954,2.61,"medio_alto"
75955,3.43,"medio_alto"
75956,2.48,"medio_alto"
75957,5,"medio_alto"
75958,5,"medio_alto"
75960,3.42,"medio_alto"
75962,1.26,"pobreza"
75964,NA,"medio_alto"
75965,1.23,"pobreza"
75966,1.36,"bajo_ingreso"
75969,3.81,"medio_alto"
75970,1.53,"bajo_ingreso"
75973,5,"medio_alto"
75974,3.38,"medio_alto"
75975,0,"pobreza"
75976,1.54,"bajo_ingreso"
75977,1.85,"bajo_ingreso"
75978,1.14,"pobreza"
75980,5,"medio_alto"
75982,1.04,"pobreza"
75985,0.55,"pobreza"
75986,2.52,"medio_alto"
75987,NA,"pobreza"
75988,NA,"pobreza"
75989,0.31,"pobreza"
75991,3.92,"medio_alto"
75992,1.16,"pobreza"
75993,4.61,"medio_alto"
75996,NA,NA
75997,0.62,"pobreza"
75998,5,"medio_alto"
75999,0,"pobreza"
76004,0.03,"pobreza"
76006,0,"pobreza"
76007,5,"medio_alto"
76008,3.05,"medio_alto"
76010,1.23,"pobreza"
76011,NA,"pobreza"
76012,1.01,"pobreza"
76015,4.52,"medio_alto"
76016,2.72,"medio_alto"
76018,1.35,"bajo_ingreso"
76019,0.76,"pobreza"
76020,1.01,"pobreza"
76023,5,"medio_alto"
76024,4.24,"medio_alto"
76025,5,"medio_alto"
76028,1.55,"bajo_ingreso"
76030,3.06,"medio_alto"
76032,0.98,"pobreza"
76033,2.06,"medio_alto"
76034,2.06,"medio_alto"
76036,NA,"pobreza"
76037,1.66,"bajo_ingreso"
76039,1.34,"bajo_ingreso"
76040,3.34,"medio_alto"
76041,3.07,"medio_alto"
76042,1.26,"pobreza"
76043,NA,NA
76046,0.51,"pobreza"
76048,1.21,"pobreza"
76049,NA,"medio_alto"
76051,NA,NA
76054,1.14,"pobreza"
76055,0.13,"pobreza"
76057,2.76,"medio_alto"
76059,0.92,"pobreza"
76060,5,"medio_alto"
76062,1.03,"pobreza"
76064,5,"medio_alto"
76067,2.76,"medio_alto"
76069,5,"medio_alto"
76071,3.82,"medio_alto"
76072,1.16,"pobreza"
76073,4.3,"medio_alto"
76074,3.2,"medio_alto"
76075,1.94,"medio_alto"
76076,0.48,"pobreza"
76077,0.56,"pobreza"
76078,5,"medio_alto"
76079,0.91,"pobreza"
76081,3.92,"medio_alto"
76082,2.55,"medio_alto"
76084,3.06,"medio_alto"
76086,2.55,"medio_alto"
76087,4,"medio_alto"
76088,5,"medio_alto"
76090,5,"medio_alto"
76091,5,"medio_alto"
76092,NA,NA
76094,0.63,"pobreza"
76095,1.31,"bajo_ingreso"
76096,5,"medio_alto"
76097,5,"medio_alto"
76101,0.95,"pobreza"
76103,2.09,"medio_alto"
76104,2.36,"medio_alto"
76106,NA,NA
76107,0.87,"pobreza"
76108,1.31,"bajo_ingreso"
76109,2.01,"medio_alto"
76110,1.82,"bajo_ingreso"
76112,2.29,"medio_alto"
76114,NA,NA
76116,1.23,"pobreza"
76117,1.07,"pobreza"
76118,1.97,"medio_alto"
76119,0.75,"pobreza"
76120,1.31,"bajo_ingreso"
76126,0.45,"pobreza"
76127,5,"medio_alto"
76128,0,"pobreza"
76129,4.11,"medio_alto"
76132,0.87,"pobreza"
76133,3.07,"medio_alto"
76134,2.14,"medio_alto"
76136,2.43,"medio_alto"
76137,3.81,"medio_alto"
76138,1.41,"bajo_ingreso"
76139,NA,NA
76140,1.7,"bajo_ingreso"
76144,1.03,"pobreza"
76145,5,"medio_alto"
76146,0.49,"pobreza"
76147,NA,"medio_alto"
76148,1.53,"bajo_ingreso"
76149,NA,"medio_alto"
76150,0.88,"pobreza"
76151,0.54,"pobreza"
76154,3.13,"medio_alto"
76156,1.72,"bajo_ingreso"
76158,1.16,"pobreza"
76159,5,"medio_alto"
76161,2.48,"medio_alto"
76164,1.34,"bajo_ingreso"
76167,NA,NA
76168,0.86,"pobreza"
76169,3.87,"medio_alto"
76170,0,"pobreza"
76171,2.06,"medio_alto"
76173,1.56,"bajo_ingreso"
76174,5,"medio_alto"
76178,5,"medio_alto"
76179,5,"medio_alto"
76180,0.03,"pobreza"
76181,1.68,"bajo_ingreso"
76184,1.81,"bajo_ingreso"
76186,0.61,"pobreza"
76187,4,"medio_alto"
76188,0.9,"pobreza"
76190,0.21,"pobreza"
76191,0.27,"pobreza"
76192,1.6,"bajo_ingreso"
76193,1.41,"bajo_ingreso"
76195,NA,"medio_alto"
76197,0.18,"pobreza"
76199,1.54,"bajo_ingreso"
76204,NA,"medio_alto"
76206,1.93,"medio_alto"
76208,5,"medio_alto"
76209,5,"medio_alto"
76212,1.53,"bajo_ingreso"
76213,4.24,"medio_alto"
76214,0.36,"pobreza"
76215,2.04,"medio_alto"
76217,0.51,"pobreza"
76218,5,"medio_alto"
76220,3.03,"medio_alto"
76223,4.58,"medio_alto"
76224,0.78,"pobreza"
76226,1.07,"pobreza"
76227,2.32,"medio_alto"
76230,NA,"medio_alto"
76231,3.26,"medio_alto"
76232,0.27,"pobreza"
76233,NA,"pobreza"
76235,3.08,"medio_alto"
76236,4.36,"medio_alto"
76238,2.72,"medio_alto"
76240,1.06,"pobreza"
76241,1.15,"pobreza"
76242,1.07,"pobreza"
76243,5,"medio_alto"
76246,0.25,"pobreza"
76248,4.3,"medio_alto"
76252,2.33,"medio_alto"
76253,0.45,"pobreza"
76256,5,"medio_alto"
76261,1.54,"bajo_ingreso"
76264,2.88,"medio_alto"
76267,3.03,"medio_alto"
76269,5,"medio_alto"
76270,1.38,"bajo_ingreso"
76271,5,"medio_alto"
76272,4.24,"medio_alto"
76276,NA,NA
76277,1.08,"pobreza"
76281,0.78,"pobreza"
76282,1.44,"bajo_ingreso"
76284,1.21,"pobreza"
76285,3.05,"medio_alto"
76286,3.13,"medio_alto"
76288,0.61,"pobreza"
76289,2.83,"medio_alto"
76290,1.56,"bajo_ingreso"
76294,0.99,"pobreza"
76295,2.09,"medio_alto"
76296,4.59,"medio_alto"
76298,4.3,"medio_alto"
76301,5,"medio_alto"
76302,4.19,"medio_alto"
76303,NA,NA
76304,0.2,"pobreza"
76305,0.41,"pobreza"
76306,5,"medio_alto"
76307,0.75,"pobreza"
76310,2.61,"medio_alto"
76312,1.27,"pobreza"
76314,4.59,"medio_alto"
76316,1.12,"pobreza"
76320,1.51,"bajo_ingreso"
76322,0.68,"pobreza"
76325,0.75,"pobreza"
76326,4.2,"medio_alto"
76333,0.44,"pobreza"
76334,0.18,"pobreza"
76335,3.43,"medio_alto"
76342,1.45,"bajo_ingreso"
76347,0.84,"pobreza"
76348,NA,NA
76349,1.16,"pobreza"
76351,0.54,"pobreza"
76353,0.92,"pobreza"
76354,0.87,"pobreza"
76356,0.52,"pobreza"
76363,NA,NA
76365,3.06,"medio_alto"
76366,0.57,"pobreza"
76367,4.85,"medio_alto"
76369,2.09,"medio_alto"
76371,1.31,"bajo_ingreso"
76373,4.3,"medio_alto"
76375,0.92,"pobreza"
76376,0.57,"pobreza"
76377,0.99,"pobreza"
76380,0.31,"pobreza"
76383,2.79,"medio_alto"
76385,NA,NA
76387,3.2,"medio_alto"
76388,0.96,"pobreza"
76390,0.84,"pobreza"
76391,1.54,"bajo_ingreso"
76397,1.05,"pobreza"
76400,3.2,"medio_alto"
76401,1.75,"bajo_ingreso"
76402,4.64,"medio_alto"
76403,0.84,"pobreza"
76404,NA,NA
76405,5,"medio_alto"
76406,0.49,"pobreza"
76408,0.45,"pobreza"
76409,1.05,"pobreza"
76411,1.16,"pobreza"
76413,1,"pobreza"
76415,1.39,"bajo_ingreso"
76418,3.64,"medio_alto"
76422,2.57,"medio_alto"
76423,4.11,"medio_alto"
76424,4.2,"medio_alto"
76425,NA,NA
76427,3.09,"medio_alto"
76429,NA,NA
76432,1.72,"bajo_ingreso"
76433,0.62,"pobreza"
76434,NA,"pobreza"
76435,5,"medio_alto"
76436,2.4,"medio_alto"
76437,0.9,"pobreza"
76439,0.56,"pobreza"
76440,3.33,"medio_alto"
76442,4.58,"medio_alto"
76443,0.29,"pobreza"
76444,4.35,"medio_alto"
76446,2.19,"medio_alto"
76447,3.08,"medio_alto"
76451,NA,"pobreza"
76453,5,"medio_alto"
76455,0.75,"pobreza"
76459,1.16,"pobreza"
76461,0.68,"pobreza"
76464,2.83,"medio_alto"
76465,1.84,"bajo_ingreso"
76466,0,"pobreza"
76468,1.91,"medio_alto"
76469,1.32,"bajo_ingreso"
76470,NA,NA
76472,3.81,"medio_alto"
76476,0.51,"pobreza"
76477,1.97,"medio_alto"
76480,5,"medio_alto"
76481,3.11,"medio_alto"
76482,2.09,"medio_alto"
76484,0.4,"pobreza"
76486,0.73,"pobreza"
76487,1.29,"pobreza"
76488,0.65,"pobreza"
76489,2.15,"medio_alto"
76490,1.6,"bajo_ingreso"
76493,NA,NA
76494,0.91,"pobreza"
76496,0.4,"pobreza"
76500,5,"medio_alto"
76506,1.26,"pobreza"
76508,2.26,"medio_alto"
76509,0.84,"pobreza"
76510,0.1,"pobreza"
76511,1.39,"bajo_ingreso"
76514,3.81,"medio_alto"
76515,0.84,"pobreza"
76518,1.03,"pobreza"
76524,5,"medio_alto"
76527,4.58,"medio_alto"
76528,4.3,"medio_alto"
76529,1.82,"bajo_ingreso"
76530,1.32,"bajo_ingreso"
76532,2.06,"medio_alto"
76533,2.84,"medio_alto"
76534,0.88,"pobreza"
76536,5,"medio_alto"
76539,4.73,"medio_alto"
76540,3.87,"medio_alto"
76541,1.7,"bajo_ingreso"
76543,0.91,"pobreza"
76548,2.77,"medio_alto"
76549,0.86,"pobreza"
76550,1.91,"medio_alto"
76551,5,"medio_alto"
76553,1.54,"bajo_ingreso"
76556,1.93,"medio_alto"
76557,1.09,"pobreza"
76558,4.3,"medio_alto"
76560,3.87,"medio_alto"
76561,0.43,"pobreza"
76565,3.81,"medio_alto"
76567,5,"medio_alto"
76568,4.64,"medio_alto"
76569,0.75,"pobreza"
76571,5,"medio_alto"
76574,0.61,"pobreza"
76575,4.3,"medio_alto"
76576,5,"medio_alto"
76577,1.23,"pobreza"
76578,2.67,"medio_alto"
76580,1.86,"medio_alto"
76584,NA,"medio_alto"
76586,0.85,"pobreza"
76587,1.82,"bajo_ingreso"
76589,0.72,"pobreza"
76590,3.08,"medio_alto"
76591,4.08,"medio_alto"
76593,0.73,"pobreza"
76596,NA,"medio_alto"
76597,0.87,"pobreza"
76598,0.61,"pobreza"
76599,NA,NA
76601,1.72,"bajo_ingreso"
76602,0.76,"pobreza"
76604,1.25,"pobreza"
76606,4.85,"medio_alto"
76608,NA,"pobreza"
76609,0.45,"pobreza"
76612,2.04,"medio_alto"
76613,5,"medio_alto"
76614,5,"medio_alto"
76615,2.01,"medio_alto"
76617,0.61,"pobreza"
76619,1.04,"pobreza"
76622,1.06,"pobreza"
76623,NA,"medio_alto"
76624,0,"pobreza"
76626,5,"medio_alto"
76627,1.12,"pobreza"
76629,2.43,"medio_alto"
76630,1.03,"pobreza"
76631,5,"medio_alto"
76632,3.09,"medio_alto"
76633,5,"medio_alto"
76634,0.75,"pobreza"
76635,4.64,"medio_alto"
76637,1.82,"bajo_ingreso"
76638,2.61,"medio_alto"
76639,0.24,"pobreza"
76641,0.7,"pobreza"
76642,2.52,"medio_alto"
76643,3.65,"medio_alto"
76645,3.34,"medio_alto"
76648,NA,"medio_alto"
76649,0.41,"pobreza"
76653,NA,"bajo_ingreso"
76654,4.49,"medio_alto"
76655,0.67,"pobreza"
76656,2.91,"medio_alto"
76657,NA,NA
76660,1.03,"pobreza"
76663,0.7,"pobreza"
76665,5,"medio_alto"
76666,0.68,"pobreza"
76667,5,"medio_alto"
76668,5,"medio_alto"
76669,0.78,"pobreza"
76670,4.18,"medio_alto"
76671,3.04,"medio_alto"
76672,1.21,"pobreza"
76673,5,"medio_alto"
76674,0.64,"pobreza"
76675,3.52,"medio_alto"
76676,1.03,"pobreza"
76677,1.29,"pobreza"
76679,1.69,"bajo_ingreso"
76680,3.87,"medio_alto"
76684,2.09,"medio_alto"
76686,NA,NA
76687,NA,"medio_alto"
76688,3.66,"medio_alto"
76691,NA,NA
76692,5,"medio_alto"
76697,1.41,"bajo_ingreso"
76698,1.54,"bajo_ingreso"
76700,0.8,"pobreza"
76702,1.54,"bajo_ingreso"
76703,2.06,"medio_alto"
76704,0.72,"pobreza"
76705,NA,"medio_alto"
76706,0.73,"pobreza"
76707,0.93,"pobreza"
76708,2.12,"medio_alto"
76709,1.91,"medio_alto"
76712,4.64,"medio_alto"
76714,0.64,"pobreza"
76715,2.79,"medio_alto"
76716,1.04,"pobreza"
76718,0,"pobreza"
76719,1.72,"bajo_ingreso"
76722,5,"medio_alto"
76723,5,"medio_alto"
76730,1.16,"pobreza"
76731,1.84,"bajo_ingreso"
76732,3.31,"medio_alto"
76733,2.71,"medio_alto"
76734,2.29,"medio_alto"
76735,0.61,"pobreza"
76737,2.73,"medio_alto"
76738,5,"medio_alto"
76739,1.65,"bajo_ingreso"
76740,3.77,"medio_alto"
76741,0.93,"pobreza"
76742,5,"medio_alto"
76745,0.62,"pobreza"
76746,NA,NA
76747,1.21,"pobreza"
76751,3.07,"medio_alto"
76753,2.06,"medio_alto"
76754,NA,"medio_alto"
76755,2.66,"medio_alto"
76756,0.93,"pobreza"
76757,1.33,"bajo_ingreso"
76764,5,"medio_alto"
76767,NA,"medio_alto"
76769,1.12,"pobreza"
76771,NA,NA
76777,4.53,"medio_alto"
76778,2.55,"medio_alto"
76779,0.61,"pobreza"
76785,NA,NA
76789,5,"medio_alto"
76792,NA,NA
76793,1.81,"bajo_ingreso"
76796,1.87,"medio_alto"
76797,0.61,"pobreza"
76799,NA,NA
76800,0.66,"pobreza"
76802,0.15,"pobreza"
76805,2.9,"medio_alto"
76807,1.02,"pobreza"
76809,3.09,"medio_alto"
76810,NA,"pobreza"
76811,1.52,"bajo_ingreso"
76814,3.87,"medio_alto"
76815,NA,NA
76817,2.29,"medio_alto"
76818,3.09,"medio_alto"
76819,5,"medio_alto"
76820,0.74,"pobreza"
76821,3.07,"medio_alto"
76824,1.03,"pobreza"
76825,0.95,"pobreza"
76826,4.3,"medio_alto"
76827,0.39,"pobreza"
76828,1.09,"pobreza"
76831,1.93,"medio_alto"
76835,1.21,"pobreza"
76837,4.35,"medio_alto"
76840,1.13,"pobreza"
76842,5,"medio_alto"
76843,0.44,"pobreza"
76846,0.82,"pobreza"
76847,5,"medio_alto"
76849,1.4,"bajo_ingreso"
76851,0.99,"pobreza"
76853,5,"medio_alto"
76854,5,"medio_alto"
76856,1.82,"bajo_ingreso"
76859,2.66,"medio_alto"
76860,3.08,"medio_alto"
76863,5,"medio_alto"
76864,1.25,"pobreza"
76865,NA,"medio_alto"
76867,5,"medio_alto"
76868,0.51,"pobreza"
76870,0.81,"pobreza"
76871,3.81,"medio_alto"
76872,0.68,"pobreza"
76877,NA,NA
76878,3.7,"medio_alto"
76880,3.09,"medio_alto"
76882,0.81,"pobreza"
76884,5,"medio_alto"
76885,4.3,"medio_alto"
76886,0.61,"pobreza"
76888,3.87,"medio_alto"
76889,2.88,"medio_alto"
76891,NA,"bajo_ingreso"
76892,NA,"pobreza"
76893,2.61,"medio_alto"
76894,2.14,"medio_alto"
76898,2.73,"medio_alto"
76899,2.26,"medio_alto"
76900,0.87,"pobreza"
76901,1.88,"medio_alto"
76902,5,"medio_alto"
76903,0.75,"pobreza"
76905,0.25,"pobreza"
76907,0.61,"pobreza"
76908,0,"pobreza"
76909,4.79,"medio_alto"
76911,1.16,"pobreza"
76912,0.93,"pobreza"
76914,NA,NA
76915,5,"medio_alto"
76919,3.07,"medio_alto"
76920,0.68,"pobreza"
76921,0,"pobreza"
76924,0.19,"pobreza"
76925,0.54,"pobreza"
76928,5,"medio_alto"
76929,5,"medio_alto"
76931,1.07,"pobreza"
76932,1.55,"bajo_ingreso"
76934,1.74,"bajo_ingreso"
76935,3.13,"medio_alto"
76937,3.09,"medio_alto"
76940,2.51,"medio_alto"
76941,2.01,"medio_alto"
76944,0.66,"pobreza"
76945,0.79,"pobreza"
76950,3.92,"medio_alto"
76951,1.75,"bajo_ingreso"
76953,5,"medio_alto"
76954,1.67,"bajo_ingreso"
76955,0.68,"pobreza"
76958,NA,"medio_alto"
76960,0.85,"pobreza"
76961,1.93,"medio_alto"
76963,5,"medio_alto"
76965,5,"medio_alto"
76966,5,"medio_alto"
76968,0.83,"pobreza"
76969,3.05,"medio_alto"
76970,2.15,"medio_alto"
76972,0.77,"pobreza"
76973,5,"medio_alto"
76974,5,"medio_alto"
76975,NA,NA
76977,1.25,"pobreza"
76978,0,"pobreza"
76979,1.56,"bajo_ingreso"
76984,1.39,"bajo_ingreso"
76985,5,"medio_alto"
76987,0.27,"pobreza"
76988,3.87,"medio_alto"
76990,0,"pobreza"
76991,NA,"medio_alto"
76992,NA,"medio_alto"
76996,1.04,"pobreza"
76997,2.51,"medio_alto"
76999,4.59,"medio_alto"
77000,5,"medio_alto"
77001,1.29,"pobreza"
77003,1.29,"pobreza"
77004,1.93,"medio_alto"
77006,1.54,"bajo_ingreso"
77007,1.78,"bajo_ingreso"
77008,NA,NA
77010,1.84,"bajo_ingreso"
77011,4.11,"medio_alto"
77012,5,"medio_alto"
77013,5,"medio_alto"
77014,5,"medio_alto"
77016,1.81,"bajo_ingreso"
77017,1.54,"bajo_ingreso"
77019,0.64,"pobreza"
77020,0,"pobreza"
77021,0.73,"pobreza"
77022,0.85,"pobreza"
77023,5,"medio_alto"
77024,2.52,"medio_alto"
77025,1.29,"pobreza"
77028,0.86,"pobreza"
77029,0.63,"pobreza"
77030,0.82,"pobreza"
77032,1.21,"pobreza"
77033,1.31,"bajo_ingreso"
77035,1.27,"pobreza"
77040,3.81,"medio_alto"
77041,2.48,"medio_alto"
